               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.039228,             0.00528,           0.0025161,             0.80349,             0.94066,             0.84435,             0.49228,            0.052492,           0.0030166,            0.001534,            0.001585,            0.001585,            0.001585
                  87,            0.042537,           0.0066648,           0.0060216,             0.80261,             0.94112,              0.8627,             0.52582,            0.051044,           0.0030062,           0.0014437,            0.001486,            0.001486,            0.001486
                  88,              0.0502,           0.0054095,           0.0032149,              0.8004,             0.94118,              0.8627,             0.50547,            0.052361,           0.0029905,           0.0014309,            0.001387,            0.001387,            0.001387
                  89,            0.037958,           0.0059534,           0.0026579,             0.80279,             0.94105,              0.8827,             0.52769,            0.050193,           0.0030031,           0.0013597,            0.001288,            0.001288,            0.001288
                  90,            0.043161,           0.0050942,           0.0027251,             0.80755,             0.91106,             0.87918,             0.53375,            0.050035,           0.0030208,           0.0013416,            0.001189,            0.001189,            0.001189
                  91,             0.05226,           0.0095199,           0.0026794,             0.78167,             0.88235,               0.874,             0.54579,            0.049283,           0.0029707,           0.0013665,             0.00109,             0.00109,             0.00109
                  92,            0.041302,           0.0050128,           0.0059741,             0.78012,             0.88235,             0.87399,             0.51975,            0.049323,           0.0029733,           0.0013903,            0.000991,            0.000991,            0.000991
                  93,            0.035408,           0.0054308,           0.0018706,             0.82345,             0.88234,             0.88041,             0.56047,            0.047759,           0.0029715,           0.0013047,            0.000892,            0.000892,            0.000892
                  94,            0.047393,           0.0068233,           0.0048189,             0.80488,             0.78232,              0.8103,             0.55299,            0.048673,           0.0029745,            0.001296,            0.000793,            0.000793,            0.000793
                  95,            0.039574,           0.0056101,           0.0010938,             0.78586,             0.80697,             0.81406,             0.54448,            0.048706,            0.002953,           0.0013301,            0.000694,            0.000694,            0.000694
                  96,            0.044253,           0.0072522,           0.0016595,             0.80511,             0.78235,             0.81339,             0.53669,            0.047986,           0.0029545,           0.0013361,            0.000595,            0.000595,            0.000595
                  97,            0.042638,           0.0054661,           0.0037118,             0.78701,             0.80248,              0.8129,             0.55169,            0.047572,           0.0029372,              0.0012,            0.000496,            0.000496,            0.000496
                  98,             0.03928,           0.0054363,           0.0023626,             0.78969,             0.79891,             0.84642,             0.55548,            0.047606,           0.0029349,           0.0011926,            0.000397,            0.000397,            0.000397
                  99,            0.043217,           0.0058815,           0.0031727,              0.8123,             0.91018,             0.87418,             0.55774,            0.047535,           0.0029385,           0.0011595,            0.000298,            0.000298,            0.000298
